filename,line_number,message,line
R/array_utils.R,251,Variable and function name style should be camelCase.,. = probe_set = gene_id = NULL
R/array_utils.R,288,Variable and function name style should be camelCase.,.SD = NULL
R/tximport.R,76,Variable and function name style should be camelCase.,path = .N = . = NULL
